County,DATE,PRCP
Bay County,7/19/2021,0.96
Bay County,7/20/2021,1.01
Bay County,7/21/2021,0.6
Bay County,7/22/2021,0.11
Bay County,7/23/2021,0.29
Bay County,7/24/2021,0
Bay County,7/25/2021,0
Bay County,7/26/2021,0
Bay County,7/27/2021,0.76
Bay County,7/28/2021,0.49
Bay County,7/29/2021,1.37
Bay County,7/30/2021,0.47
Bay County,7/31/2021,0.01
Bay County,8/1/2021,1.06
Bay County,8/2/2021,0.64
Bay County,8/3/2021,3.06
Bay County,8/4/2021,0.74
Bay County,8/5/2021,0
Bay County,8/6/2021,0
Bay County,8/7/2021,0
Bay County,8/8/2021,0.04
Bay County,8/9/2021,0
Bay County,8/10/2021,0.43
Bay County,8/11/2021,0.77
Bay County,8/12/2021,0.21
Bay County,8/13/2021,0.31
Bay County,8/14/2021,0.75
Bay County,8/15/2021,0.59
Bay County,8/16/2021,2.16
Bay County,8/17/2021,0
Bay County,8/18/2021,0
Bay County,8/19/2021,0
Bay County,8/20/2021,0.08
Bay County,8/21/2021,0.53
Bay County,8/23/2021,0.99
Bay County,8/24/2021,0.08
Bay County,8/25/2021,0.6
Bay County,8/26/2021,0.03
Bay County,8/27/2021,0.7
Bay County,8/28/2021,0
Bay County,8/29/2021,1.45
Bay County,8/30/2021,0.27
Bay County,8/31/2021,2.32
Bay County,9/1/2021,0.73
Bay County,9/2/2021,0
Bay County,9/3/2021,0
Bay County,9/4/2021,0
Bay County,9/5/2021,0
Bay County,9/6/2021,0
Bay County,9/7/2021,0.3
Bay County,9/8/2021,1.94
Bay County,9/9/2021,0.11
Bay County,9/10/2021,0
Bay County,9/11/2021,0.23
Bay County,9/12/2021,0.04
Bay County,9/13/2021,0
Bay County,9/14/2021,0.01
Bay County,9/15/2021,1.52
Bay County,9/16/2021,0.12
Bay County,9/17/2021,0.05
Bay County,9/18/2021,0.52
Bay County,9/19/2021,0.01
Bay County,9/20/2021,0.41
Bay County,9/21/2021,0.13
Bay County,9/22/2021,0
Bay County,9/23/2021,0
Bay County,9/24/2021,0
Bay County,9/25/2021,0
Bay County,9/26/2021,0
Bay County,9/27/2021,0
Bay County,9/28/2021,0
Bay County,9/29/2021,0.03
Bay County,9/30/2021,0
Bay County,10/1/2021,0
Bay County,10/2/2021,0.4
Bay County,10/3/2021,0.1
Bay County,10/4/2021,0.8
Bay County,10/5/2021,2.79
Bay County,10/6/2021,0.68
Bay County,10/7/2021,7.11
Bay County,10/8/2021,0
Bay County,10/9/2021,0
Bay County,10/10/2021,0
Bay County,10/11/2021,0
Bay County,10/12/2021,0
Bay County,10/13/2021,0
Bay County,10/14/2021,0
Bay County,10/15/2021,0
Bay County,10/16/2021,0
Bay County,10/17/2021,0
Bay County,10/18/2021,0
Bay County,10/19/2021,0
Bay County,10/20/2021,0
Bay County,10/21/2021,0
Bay County,10/22/2021,0
Bay County,10/23/2021,0
Bay County,10/24/2021,0.21
Bay County,10/25/2021,0.08
Bay County,10/26/2021,0
Bay County,10/27/2021,0.12
Bay County,10/28/2021,3.67
Bay County,10/29/2021,0
Bay County,10/30/2021,0
Bay County,10/31/2021,0
Bay County,11/1/2021,0
Bay County,11/2/2021,0
Bay County,11/3/2021,0
Bay County,11/4/2021,0
Bay County,11/5/2021,0.01
Bay County,11/6/2021,0
Bay County,11/7/2021,0
Bay County,11/8/2021,0
Bay County,11/9/2021,0
Bay County,11/10/2021,0
Bay County,11/11/2021,0.35
Bay County,11/12/2021,0
Bay County,11/13/2021,0
Bay County,11/14/2021,0
Bay County,11/15/2021,0
Bay County,11/16/2021,0
Bay County,11/17/2021,0
Bay County,11/18/2021,0
Bay County,11/19/2021,0
Bay County,11/20/2021,0
Bay County,11/21/2021,0
Bay County,11/22/2021,0.04
Bay County,11/23/2021,0
Bay County,11/24/2021,0
Bay County,11/25/2021,0
Bay County,11/26/2021,0
Bay County,11/27/2021,0
Bay County,11/28/2021,0.01
Bay County,11/29/2021,0
Bay County,11/30/2021,0
Bay County,12/1/2021,0
Bay County,12/2/2021,0
Bay County,12/3/2021,0
Bay County,12/4/2021,0
Bay County,12/5/2021,0
Bay County,12/6/2021,0.07
Bay County,12/7/2021,0.01
Bay County,12/8/2021,0.35
Bay County,12/9/2021,0
Bay County,12/10/2021,0.03
Bay County,12/11/2021,0
Bay County,12/12/2021,0
Bay County,12/13/2021,0
Bay County,12/14/2021,0
Bay County,12/15/2021,0
Bay County,12/16/2021,0
Bay County,12/17/2021,0
Bay County,12/18/2021,0
Bay County,12/19/2021,0.01
Bay County,12/20/2021,0.02
Bay County,12/21/2021,0.25
Bay County,12/22/2021,0
Bay County,12/23/2021,0
Bay County,12/24/2021,0
Bay County,12/25/2021,0
Bay County,12/26/2021,0
Bay County,12/27/2021,0
Bay County,12/28/2021,0
Bay County,12/29/2021,0.25
Bay County,12/30/2021,0.03
Bay County,12/31/2021,0
Bay County,1/1/2022,0
Bay County,1/2/2022,0.87
Bay County,1/3/2022,0
Bay County,1/4/2022,0
Bay County,1/5/2022,0
Bay County,1/6/2022,0.42
